snapshot_date,organization,course,learner_id,assignment_id,assignment_title,evidence_max,reasoning_max,organization_max,format_max,evidence,reasoning,organization,format,total,rubric_max
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S006,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S007,A-101,Evidence Map,6,6,4,4,3,6,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S007,A-102,Source Comparison,6,6,4,4,4,3,4,3,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S007,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S008,A-101,Evidence Map,6,6,4,4,4,4,3,4,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S008,A-102,Source Comparison,6,6,4,4,5,5,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S008,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,4,3,19,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S009,A-101,Evidence Map,6,6,4,4,5,6,4,3,18,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S009,A-102,Source Comparison,6,6,4,4,6,3,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S009,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,2,2,11,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S010,A-101,Evidence Map,6,6,4,4,6,4,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S010,A-102,Source Comparison,6,6,4,4,3,5,4,3,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S010,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S011,A-101,Evidence Map,6,6,4,4,3,6,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S011,A-102,Source Comparison,6,6,4,4,4,3,2,2,11,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S011,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S012,A-101,Evidence Map,6,6,4,4,4,4,4,3,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S012,A-102,Source Comparison,6,6,4,4,5,5,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S012,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,2,2,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S013,A-101,Evidence Map,6,6,4,4,5,6,2,2,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S013,A-102,Source Comparison,6,6,4,4,6,3,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S013,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,3,4,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S014,A-101,Evidence Map,6,6,4,4,6,4,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S014,A-102,Source Comparison,6,6,4,4,3,5,2,2,12,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S014,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S015,A-101,Evidence Map,6,6,4,4,3,6,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S015,A-102,Source Comparison,6,6,4,4,4,3,3,4,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S015,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S016,A-101,Evidence Map,6,6,4,4,4,4,2,2,12,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S016,A-102,Source Comparison,6,6,4,4,5,5,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S016,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,3,4,19,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S017,A-101,Evidence Map,6,6,4,4,5,6,3,4,18,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S017,A-102,Source Comparison,6,6,4,4,6,3,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S017,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,4,3,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S018,A-101,Evidence Map,6,6,4,4,6,4,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S018,A-102,Source Comparison,6,6,4,4,3,5,3,4,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S018,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S019,A-101,Evidence Map,6,6,4,4,3,6,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S019,A-102,Source Comparison,6,6,4,4,4,3,4,3,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S019,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S020,A-101,Evidence Map,6,6,4,4,4,4,3,4,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S020,A-102,Source Comparison,6,6,4,4,5,5,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S020,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,4,3,19,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S021,A-101,Evidence Map,6,6,4,4,5,6,4,3,18,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S021,A-102,Source Comparison,6,6,4,4,6,3,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S021,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,2,2,11,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S022,A-101,Evidence Map,6,6,4,4,6,4,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S022,A-102,Source Comparison,6,6,4,4,3,5,4,3,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S022,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S023,A-101,Evidence Map,6,6,4,4,3,6,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S023,A-102,Source Comparison,6,6,4,4,4,3,2,2,11,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S023,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S024,A-101,Evidence Map,6,6,4,4,4,4,4,3,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S024,A-102,Source Comparison,6,6,4,4,5,5,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S024,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,2,2,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S025,A-101,Evidence Map,6,6,4,4,5,6,2,2,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S025,A-102,Source Comparison,6,6,4,4,6,3,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S025,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,3,4,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S026,A-101,Evidence Map,6,6,4,4,6,4,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S026,A-102,Source Comparison,6,6,4,4,3,5,2,2,12,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S026,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S027,A-101,Evidence Map,6,6,4,4,3,6,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S027,A-102,Source Comparison,6,6,4,4,4,3,3,4,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S027,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S028,A-101,Evidence Map,6,6,4,4,4,4,2,2,12,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S028,A-102,Source Comparison,6,6,4,4,5,5,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S028,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,3,4,19,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S029,A-101,Evidence Map,6,6,4,4,5,6,3,4,18,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S029,A-102,Source Comparison,6,6,4,4,6,3,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S029,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,4,3,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S030,A-101,Evidence Map,6,6,4,4,6,4,4,3,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S030,A-102,Source Comparison,6,6,4,4,3,5,3,4,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S030,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S031,A-101,Evidence Map,6,6,4,4,3,6,2,2,13,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S031,A-102,Source Comparison,6,6,4,4,4,3,4,3,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S031,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S032,A-101,Evidence Map,6,6,4,4,4,4,3,4,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S032,A-102,Source Comparison,6,6,4,4,5,5,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S032,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,4,3,19,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S033,A-101,Evidence Map,6,6,4,4,5,6,4,3,18,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S033,A-102,Source Comparison,6,6,4,4,6,3,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S033,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,3,4,2,2,11,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S034,A-101,Evidence Map,6,6,4,4,6,4,2,2,14,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S034,A-102,Source Comparison,6,6,4,4,3,5,4,3,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S034,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,4,6,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S035,A-101,Evidence Map,6,6,4,4,3,6,3,4,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S035,A-102,Source Comparison,6,6,4,4,4,3,2,2,11,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S035,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,5,4,4,3,16,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S036,A-101,Evidence Map,6,6,4,4,4,4,4,3,15,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S036,A-102,Source Comparison,6,6,4,4,5,5,3,4,17,20
2026-09-14,Maple Learning,Course Alpha 2026 Term 1,ML26-S036,A-103,Claim-Evidence-Reasoning Brief,6,6,4,4,6,6,2,2,16,20
