snapshot_date,organization,course,learner_id,assignment_id,assignment_title,evidence_max,reasoning_max,organization_max,format_max,evidence,reasoning,organization,format,total,rubric_max
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S016,B-202,Model Test,6,6,4,4,4,4,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S016,B-203,Design Critique,6,6,4,4,5,5,3,4,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S017,B-201,Scenario Map,6,6,4,4,4,5,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S017,B-202,Model Test,6,6,4,4,5,6,2,2,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S017,B-203,Design Critique,6,6,4,4,6,3,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S018,B-201,Scenario Map,6,6,4,4,5,3,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S018,B-202,Model Test,6,6,4,4,6,4,3,4,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S018,B-203,Design Critique,6,6,4,4,3,5,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S019,B-201,Scenario Map,6,6,4,4,6,5,2,2,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S019,B-202,Model Test,6,6,4,4,3,6,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S019,B-203,Design Critique,6,6,4,4,4,3,3,4,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S020,B-201,Scenario Map,6,6,4,4,3,3,3,4,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S020,B-202,Model Test,6,6,4,4,4,4,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S020,B-203,Design Critique,6,6,4,4,5,5,4,3,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S021,B-201,Scenario Map,6,6,4,4,4,5,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S021,B-202,Model Test,6,6,4,4,5,6,3,4,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S021,B-203,Design Critique,6,6,4,4,6,3,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S022,B-201,Scenario Map,6,6,4,4,5,3,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S022,B-202,Model Test,6,6,4,4,6,4,4,3,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S022,B-203,Design Critique,6,6,4,4,3,5,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S023,B-201,Scenario Map,6,6,4,4,6,5,3,4,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S023,B-202,Model Test,6,6,4,4,3,6,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S023,B-203,Design Critique,6,6,4,4,4,3,4,3,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S024,B-201,Scenario Map,6,6,4,4,3,3,4,3,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S024,B-202,Model Test,6,6,4,4,4,4,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S024,B-203,Design Critique,6,6,4,4,5,5,2,2,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S025,B-201,Scenario Map,6,6,4,4,4,5,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S025,B-202,Model Test,6,6,4,4,5,6,4,3,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S025,B-203,Design Critique,6,6,4,4,6,3,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S026,B-201,Scenario Map,6,6,4,4,5,3,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S026,B-202,Model Test,6,6,4,4,6,4,2,2,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S026,B-203,Design Critique,6,6,4,4,3,5,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S027,B-201,Scenario Map,6,6,4,4,6,5,4,3,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S027,B-202,Model Test,6,6,4,4,3,6,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S027,B-203,Design Critique,6,6,4,4,4,3,2,2,11,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S028,B-201,Scenario Map,6,6,4,4,3,3,2,2,10,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S028,B-202,Model Test,6,6,4,4,4,4,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S028,B-203,Design Critique,6,6,4,4,5,5,3,4,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S029,B-201,Scenario Map,6,6,4,4,4,5,3,4,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S029,B-202,Model Test,6,6,4,4,5,6,2,2,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S029,B-203,Design Critique,6,6,4,4,6,3,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S030,B-201,Scenario Map,6,6,4,4,5,3,4,3,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S030,B-202,Model Test,6,6,4,4,6,4,3,4,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S030,B-203,Design Critique,6,6,4,4,3,5,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S031,B-201,Scenario Map,6,6,4,4,6,5,2,2,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S031,B-202,Model Test,6,6,4,4,3,6,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S031,B-203,Design Critique,6,6,4,4,4,3,3,4,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S032,B-201,Scenario Map,6,6,4,4,3,3,3,4,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S032,B-202,Model Test,6,6,4,4,4,4,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S032,B-203,Design Critique,6,6,4,4,5,5,4,3,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S033,B-201,Scenario Map,6,6,4,4,4,5,4,3,16,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S033,B-202,Model Test,6,6,4,4,5,6,3,4,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S033,B-203,Design Critique,6,6,4,4,6,3,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S034,B-201,Scenario Map,6,6,4,4,5,3,2,2,12,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S034,B-202,Model Test,6,6,4,4,6,4,4,3,17,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S034,B-203,Design Critique,6,6,4,4,3,5,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S035,B-201,Scenario Map,6,6,4,4,6,5,3,4,18,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S035,B-202,Model Test,6,6,4,4,3,6,2,2,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S035,B-203,Design Critique,6,6,4,4,4,3,4,3,14,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S036,B-201,Scenario Map,6,6,4,4,3,3,4,3,13,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S036,B-202,Model Test,6,6,4,4,4,4,3,4,15,20
2026-09-14,Maple Learning,Course Beta 2026 Term 2,ML26-S036,B-203,Design Critique,6,6,4,4,5,5,2,2,14,20
