response_id,reporting_group,response_date,enps_rating,engagement_index,manager_effectiveness,growth_clarity,wellbeing_support,enps_class
SUR-068,Customer Operations,2026-08-18,7,77,78,75,77,Passive
SUR-069,Customer Operations,2026-08-18,8,77,76,77,77,Passive
SUR-070,Customer Operations,2026-08-18,7,77,77,77,78,Passive
SUR-071,Customer Operations,2026-08-18,8,76,77,76,76,Passive
SUR-072,Customer Operations,2026-08-18,7,76,75,74,76,Passive
SUR-073,Customer Operations,2026-08-18,8,76,76,76,76,Passive
SUR-074,Customer Operations,2026-08-18,7,76,77,76,76,Passive
SUR-075,Customer Operations,2026-08-18,8,76,75,76,77,Passive
SUR-076,Customer Operations,2026-08-18,7,76,76,74,76,Passive
SUR-077,Customer Operations,2026-08-18,8,76,77,76,76,Passive
SUR-078,Customer Operations,2026-08-18,7,76,75,76,76,Passive
SUR-079,Customer Operations,2026-08-18,8,76,76,76,76,Passive
SUR-080,Customer Operations,2026-08-18,7,76,77,74,77,Passive
SUR-081,Customer Operations,2026-08-18,8,76,75,76,76,Passive
SUR-082,Customer Operations,2026-08-18,7,76,76,76,76,Passive
SUR-083,Customer Operations,2026-08-18,8,76,77,76,76,Passive
SUR-084,Customer Operations,2026-08-18,7,76,75,74,76,Passive
SUR-085,Customer Operations,2026-08-18,8,76,76,76,77,Passive
SUR-086,Customer Operations,2026-08-18,7,76,77,76,76,Passive
SUR-087,Customer Operations,2026-08-18,8,76,75,76,76,Passive
SUR-088,Customer Operations,2026-08-18,7,76,76,74,76,Passive
SUR-089,Customer Operations,2026-08-18,8,76,77,76,76,Passive
SUR-090,Customer Operations,2026-08-18,7,76,75,76,77,Passive
SUR-091,Customer Operations,2026-08-18,8,76,76,76,76,Passive
SUR-092,Customer Operations,2026-08-18,7,76,77,74,76,Passive
SUR-093,Customer Operations,2026-08-18,0,76,75,76,76,Detractor
SUR-094,General & Administration,2026-08-18,1,76,76,76,76,Detractor
SUR-095,General & Administration,2026-08-18,2,76,77,76,77,Detractor
SUR-096,General & Administration,2026-08-18,0,76,75,74,76,Detractor
SUR-097,General & Administration,2026-08-18,1,76,76,76,76,Detractor
SUR-098,General & Administration,2026-08-18,2,76,77,76,76,Detractor
SUR-099,General & Administration,2026-08-18,0,76,75,76,76,Detractor
SUR-100,General & Administration,2026-08-18,1,76,76,74,77,Detractor
SUR-101,General & Administration,2026-08-18,2,75,76,75,75,Detractor
SUR-102,General & Administration,2026-08-18,0,75,74,75,75,Detractor
SUR-103,General & Administration,2026-08-18,1,75,75,75,75,Detractor
SUR-104,General & Administration,2026-08-18,2,75,76,73,75,Detractor
SUR-105,General & Administration,2026-08-18,0,75,74,75,76,Detractor
SUR-106,General & Administration,2026-08-18,1,75,75,75,75,Detractor
SUR-107,General & Administration,2026-08-18,2,75,76,75,75,Detractor
SUR-108,General & Administration,2026-08-18,0,75,74,73,75,Detractor
SUR-109,General & Administration,2026-08-18,1,75,75,75,75,Detractor
SUR-110,General & Administration,2026-08-18,2,75,76,75,76,Detractor
SUR-111,General & Administration,2026-08-18,0,75,74,75,75,Detractor
SUR-112,General & Administration,2026-08-18,1,75,75,73,75,Detractor
SUR-113,General & Administration,2026-08-18,2,75,76,75,75,Detractor
SUR-114,General & Administration,2026-08-18,0,75,74,75,75,Detractor
SUR-115,General & Administration,2026-08-18,1,75,75,75,76,Detractor
SUR-116,General & Administration,2026-08-18,2,75,76,73,75,Detractor
SUR-117,General & Administration,2026-08-18,0,75,74,75,75,Detractor
SUR-118,General & Administration,2026-08-18,1,75,75,75,75,Detractor
