source_schema,aggregation_level,period,generated_at_jst,metric_definition,channel,region,category,net_merchandise_value_jpy
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,West,Beauty,1600000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,West,Other,1400000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,West,Other,600000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,Central,Home,2400000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,Central,Home,2600000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,Central,Electronics,3100000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,Central,Electronics,2000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,Central,Apparel,2800000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,Central,Apparel,1700000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,Central,Beauty,1200000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,Central,Beauty,1400000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,Central,Other,900000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,Central,Other,500000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,North,Home,2800000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,North,Home,3000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,North,Electronics,2300000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,North,Electronics,2200000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,North,Apparel,1900000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,North,Apparel,1300000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,North,Beauty,900000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,North,Beauty,1000000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Online,North,Other,800000
sales_dashboard_v1,channel_region_category,2026-07-07 to 2026-07-13 JST,2026-07-13T23:59:00+09:00,"MTR-09 completed order-line merchandise value, tax excluded, net recognized refunds, JPY",Stores,North,Other,200000
