export_id,matter,organization,custodian_id,custodian_alias,hold_status,notice_date,acknowledgment_date,preservation_scope,source_system
AL-CUST-017,Matter Alpha,Aster Legal,CUS-AL-017,custodian-17,Acknowledged,2026-06-30,2026-07-09,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-018,Matter Alpha,Aster Legal,CUS-AL-018,custodian-18,Acknowledged,2026-06-30,2026-07-01,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-019,Matter Alpha,Aster Legal,CUS-AL-019,custodian-19,Acknowledged,2026-06-30,2026-07-02,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-020,Matter Alpha,Aster Legal,CUS-AL-020,custodian-20,Acknowledged,2026-06-30,2026-07-03,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-021,Matter Alpha,Aster Legal,CUS-AL-021,custodian-21,Acknowledged,2026-06-30,2026-07-04,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-022,Matter Alpha,Aster Legal,CUS-AL-022,custodian-22,Acknowledged,2026-06-30,2026-07-05,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-023,Matter Alpha,Aster Legal,CUS-AL-023,custodian-23,Acknowledged,2026-06-30,2026-07-06,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-024,Matter Alpha,Aster Legal,CUS-AL-024,custodian-24,Acknowledged,2026-06-30,2026-07-07,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-025,Matter Alpha,Aster Legal,CUS-AL-025,custodian-25,Acknowledged,2026-06-30,2026-07-08,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-026,Matter Alpha,Aster Legal,CUS-AL-026,custodian-26,Acknowledged,2026-06-30,2026-07-09,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-027,Matter Alpha,Aster Legal,CUS-AL-027,custodian-27,Acknowledged,2026-06-30,2026-07-01,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-028,Matter Alpha,Aster Legal,CUS-AL-028,custodian-28,Acknowledged,2026-06-30,2026-07-02,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-029,Matter Alpha,Aster Legal,CUS-AL-029,custodian-29,Acknowledged,2026-06-30,2026-07-03,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-030,Matter Alpha,Aster Legal,CUS-AL-030,custodian-30,Acknowledged,2026-06-30,2026-07-04,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-031,Matter Alpha,Aster Legal,CUS-AL-031,custodian-31,Acknowledged,2026-06-30,2026-07-05,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-032,Matter Alpha,Aster Legal,CUS-AL-032,custodian-32,Acknowledged,2026-06-30,2026-07-06,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-033,Matter Alpha,Aster Legal,CUS-AL-033,custodian-33,Acknowledged,2026-06-30,2026-07-07,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-034,Matter Alpha,Aster Legal,CUS-AL-034,custodian-34,Acknowledged,2026-06-30,2026-07-08,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-035,Matter Alpha,Aster Legal,CUS-AL-035,custodian-35,Acknowledged,2026-06-30,2026-07-09,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-036,Matter Alpha,Aster Legal,CUS-AL-036,custodian-36,Acknowledged,2026-06-30,2026-07-01,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-037,Matter Alpha,Aster Legal,CUS-AL-037,custodian-37,Acknowledged,2026-06-30,2026-07-02,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-038,Matter Alpha,Aster Legal,CUS-AL-038,custodian-38,Acknowledged,2026-06-30,2026-07-03,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-039,Matter Alpha,Aster Legal,CUS-AL-039,custodian-39,Acknowledged,2026-06-30,2026-07-04,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-040,Matter Alpha,Aster Legal,CUS-AL-040,custodian-40,Acknowledged,2026-06-30,2026-07-05,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-041,Matter Alpha,Aster Legal,CUS-AL-041,custodian-41,Acknowledged,2026-06-30,2026-07-06,Business records and approved work channels,DLP-admin-sandbox
AL-CUST-042,Matter Alpha,Aster Legal,CUS-AL-042,custodian-42,Acknowledged,2026-06-30,2026-07-07,Business records and approved work channels,DLP-admin-sandbox
